City,City Latitude,City Longitude,Venue,Venue Id,Venue Latitude,Venue Longitude,Venue Category
"Paris, France",48.856696899999996,2.3514616000000004,Hôtel Le Meurice,4b8b0cbef964a5203b9032e3,48.8653326,2.3281374,Hotel
"Paris, France",48.856696899999996,2.3514616000000004,Hôtel Bel Ami,4b6ae8dbf964a52066e62be3,48.85491750702932,2.3331407841668503,Hotel
"Paris, France",48.856696899999996,2.3514616000000004,InterContinental Paris Le Grand Hôtel,4adcda03f964a520d13121e3,48.870836100000005,2.3307252999999997,Hotel
"Paris, France",48.856696899999996,2.3514616000000004,Grand Hôtel du Palais Royal,4b50f4d4f964a5207e3a27e3,48.86318291896972,2.3379009305339022,Hotel
"Paris, France",48.856696899999996,2.3514616000000004,Hôtel Les Jardins du Marais,4b7051cdf964a5205b122de3,48.86069911867528,2.3685297404907706,Hotel
"Paris, France",48.856696899999996,2.3514616000000004,Le Bristol,4adcda00f964a520e13021e3,48.87180426661001,2.3149024227359742,Hotel
"Paris, France",48.856696899999996,2.3514616000000004,W Paris – Opéra,4e8b0ce2f9f464ec8732a56d,48.8720985,2.3332127000000003,Hotel
"Paris, France",48.856696899999996,2.3514616000000004,Hôtel Plaza Athénée,4b817458f964a52024a730e3,48.86623539871468,2.3043736770606533,Hotel
"Paris, France",48.856696899999996,2.3514616000000004,Hôtel Four Seasons George V,4adcda00f964a520ba3021e3,48.868849,2.3006830000000003,Hotel
"Paris, France",48.856696899999996,2.3514616000000004,Hôtel Prince de Galles,4b730be2f964a520f4972de3,48.869143,2.3006578999999996,Hotel
